"","waste","PIBcapta","Escolaridade","cluster"
"Singapore",-0.0915188595302414,1.61935143854661,0.678959945404402,6
"Slovakia",-0.637554485316552,0.00717317729504289,1.02408012575568,3
"Slovenia",-2.52706648322863,0.27747373532985,0.970211403752884,5
"South Africa",-2.23199422677357,-0.580806360892991,0.258374967376316,5
"Spain",-0.242447872180855,0.345164998906611,0.156591443728393,3
"Sri Lanka",-0.319803038546371,-0.635863457144429,0.403951707813722,3
"Suriname",-0.501728682279549,-0.500784512475487,-0.0838093320289499,1
"Sweden",-0.0477642639152685,1.43096844250753,0.939644467366823,6
"Switzerland",-0.541839307908188,2.81464373534266,1.32444582571749,6
"Tajikistan",0.811767072488479,-0.757414220684891,0.647997640577015,2
"Thailand",-0.170392274682443,-0.493884382690545,-0.361296071918575,1
"Togo",1.10170375519048,-0.756389509074697,-1.77492979488014,4
"Tonga",-0.327888140707517,-0.599408479412814,0.490490971744077,3
"Trinidad and Tobago",-0.422855267127348,-0.157887402814528,0.404719273242314,3
"Tunisia",0.482940158058075,-0.654506888652369,-0.775050440582668,1
"Uganda",1.10170375519048,-0.757096127951532,-1.19359555142465,4
"United Arab Emirates",0.669226109001945,0.7134875245633,0.834260755687081,2
"United States of America",-1.22226419803914,1.82718219098886,1.22640367176434,6
"Uruguay",-0.422855267127348,-0.151562113479637,-0.217042367206574,1
"Uzbekistan",0.482940158058075,-0.720658926894088,0.688771438851497,2
"Viet Nam",-0.304120604633625,-0.676608495572708,-0.302362996414263,1
"Zimbabwe",0.93729029797528,-0.731379337681655,-0.371651559616433,2
