"","waste","PIBcapta","Escolaridade"
"Ghana",84.0075,2205.526086,7.58078
"Greece",141.690544412607,18117.070258,10.642158
"Greenland",73.6888796468385,55138.569878,10.75513
"Guatemala",72.4321627300952,4331.686958,5.3038075
"Guinea",102.694332278604,1179.48889,1.86100333333333
"Honduras",80.0836929344765,2405.734997,6.21074714285714
"Hungary",93.8252148997135,16128.651665,11.92639625
"Iceland",76.1854793537638,63644.018266,13.747265
"India",50.3214780952381,1930.971218,5.30191
"Indonesia",77.36981175,3869.58852,7.98674
"Iran (Islamic Republic of)",70.975338444364,11183.274877,10.014174
"Iraq",120.439034918836,4145.863967,7.77047
"Ireland",54.7,86250.994153,11.3344933333333
"Israel",99.5839194360265,47033.586547,12.7437616666667
"Italy",67.0487106017192,31238.048346,10.16876
"Jamaica",72.4321627300952,4664.519718,8.43943
"Japan",64.3218659914175,39989.725509,12.5299
"Jordan",93.0434158099813,4282.721671,10.1343733333333
"Kazakhstan",75.7131191461685,9111.410501,12.21007
"Kenya",99.2385369915733,1878.581192,5.66112
"Kuwait",94.5320227549499,24809.039629,7.087256
"Latvia",76.1854793537638,17870.510316,12.8646744444444
"Lithuania",76.1854793537638,20771.84218,12.85927
"Luxembourg",89.25,117181.646629,12.9629666666667
"Madagascar",102.694332278604,469.766309,5.07324
"Malaysia",91.442717194289,10401.793199,10.23651
"Mali",102.694332278604,855.863188,1.973116
"Malta",129,33770.790122,11.1427544444444
"Marshall Islands",75.7131191461685,4130.1309,10.88314
"Mauritania",99.5912966894316,1702.487691,4.21118
"Mauritius",93.428373430019,8586.942672,8.52007
"Mexico",93.9001945807149,8325.571218,8.59488555555556
"Mongolia",77.5683398204753,4007.31128,9.732735
"Montenegro",82.7837733707058,7625.722017,11.2839
"Mozambique",102.694332278604,448.843891,2.95761666666667
"Myanmar",86.3371266994304,1291.748968,6.3768
"Nepal",78.6268686487453,1135.287957,3.52148
"Netherlands",50,53333.657572,12.1496444444444
"New Zealand",61,43972.130573,13.25962
"Niger",102.694332278604,567.669697,1.63977
"North Macedonia",82.7837733707058,5886.461037,10.22815
"Norway",78.8,66870.730726,12.7729857142857
"Oman",94.5320227549499,12408.89814,9.70761
"Pakistan",73.638965625,1167.216496,4.8836125
"Palau",78.6903330361058,14566.909639,12.81512
"Panama",73.9207696750638,12269.045876,9.90849
"Paraguay",72.4321627300952,4949.74413,8.43090375
"Peru",72.4321627300952,6162.698252,9.13892142857143
"Philippines",86.3371266994304,3298.830062,8.8691425
"Poland",55.9403,15764.10583,12.7761314285714
"Portugal",84.2723803156744,22413.039839,8.88384818181818
"Puerto Rico",73.9207696750638,36051.590208,12.37638
"Qatar",94.5320227549499,50814.93445,9.32002428571429
"Republic of Korea",71.4054165610626,31946.982511,11.87727
"Republic of Moldova",76.0315957017264,2953.510884,11.7042275
"Romania",69.8686724423137,12928.580656,10.9908622222222
"Russian Federation",33.3755206458517,10165.505967,12.41369
"Rwanda",164.3625,797.705403,4.05225
"Saint Lucia",72.4321627300952,8804.664206,8.42263666666667
"Saudi Arabia",104.88,20110.315319,10.3977233333333
"Senegal",99.5912966894316,1457.990727,2.66653
"Serbia",82.7837733707058,7655.695885,10.86386
"Singapore",80.1742034400177,58114.245347,11.5204736363636
"Slovakia",69.8686724423137,19263.637523,12.6283611111111
"Slovenia",34.207218234128,25777.396719,12.4554344444444
"South Africa",39.7762253498839,5094.384038,10.1703328571429
"Spain",77.3256647277608,27408.6349,9.8435925
"Sri Lanka",75.86571225,3767.606655,10.637656
"Suriname",72.4321627300952,7022.767223,9.07187
"Sweden",81,53574.552637,12.35731
"Switzerland",71.6751401545847,86918.648293,13.59258
"Tajikistan",97.2222507332759,838.451016,11.42108
"Thailand",78.6855964950491,7189.047989,8.181096
"Togo",102.694332278604,863.14473,3.64312
"Tonga",75.7131191461685,4646.106308,10.91546
"Trinidad and Tobago",73.9207696750638,15285.973254,10.64012
"Tunisia",91.0161795549311,3318.333356,6.8528825
"Uganda",102.694332278604,846.116481,5.50929
"United Arab Emirates",94.5320227549499,36284.547906,12.0190125
"United States of America",58.8332311916738,63122.594145,13.27785
"Uruguay",73.9207696750638,15438.401395,8.644172
"Uzbekistan",91.0161795549311,1724.187748,11.55197
"Viet Nam",76.1616925875,2785.724225,8.37028
"Zimbabwe",99.5912966894316,1465.845054,8.14785333333333
